,close
2021-05-01 00:00:00+00:00,57601.6
2021-05-01 00:01:00+00:00,57592.5
2021-05-01 00:02:00+00:00,57755.2
2021-05-01 00:03:00+00:00,57778.2
2021-05-01 00:04:00+00:00,57827.9
2021-05-01 00:05:00+00:00,57860.3
2021-05-01 00:06:00+00:00,57809.7
2021-05-01 00:07:00+00:00,57833.3
2021-05-01 00:08:00+00:00,57885.1
2021-05-01 00:09:00+00:00,57918.4
2021-05-01 00:10:00+00:00,58004.1
2021-05-01 00:11:00+00:00,57981.1
2021-05-01 00:12:00+00:00,58033.3
2021-05-01 00:13:00+00:00,57963.0
2021-05-01 00:14:00+00:00,58005.2
2021-05-01 00:15:00+00:00,57847.1
2021-05-01 00:16:00+00:00,57899.3
2021-05-01 00:17:00+00:00,57986.7
2021-05-01 00:18:00+00:00,58055.1
2021-05-01 00:19:00+00:00,58125.0
2021-05-01 00:20:00+00:00,58048.9
2021-05-01 00:21:00+00:00,58066.0
2021-05-01 00:22:00+00:00,58030.1
2021-05-01 00:23:00+00:00,58071.1
2021-05-01 00:24:00+00:00,58042.4
2021-05-01 00:25:00+00:00,58007.1
2021-05-01 00:26:00+00:00,57996.2
2021-05-01 00:27:00+00:00,58088.1
2021-05-01 00:28:00+00:00,58054.4
2021-05-01 00:29:00+00:00,58091.0
2021-05-01 00:30:00+00:00,58069.4
2021-05-01 00:31:00+00:00,57992.7
2021-05-01 00:32:00+00:00,57992.0
2021-05-01 00:33:00+00:00,57964.3
2021-05-01 00:34:00+00:00,57947.1
2021-05-01 00:35:00+00:00,57959.0
2021-05-01 00:36:00+00:00,57957.2
2021-05-01 00:37:00+00:00,57951.5
2021-05-01 00:38:00+00:00,58006.5
2021-05-01 00:39:00+00:00,57995.9
2021-05-01 00:40:00+00:00,57902.9
2021-05-01 00:41:00+00:00,57916.2
2021-05-01 00:42:00+00:00,57921.0
2021-05-01 00:43:00+00:00,57915.6
2021-05-01 00:44:00+00:00,57902.8
2021-05-01 00:45:00+00:00,57876.7
2021-05-01 00:46:00+00:00,57897.6
2021-05-01 00:47:00+00:00,57932.3
2021-05-01 00:48:00+00:00,57937.1
2021-05-01 00:49:00+00:00,57956.8
2021-05-01 00:50:00+00:00,57953.0
2021-05-01 00:51:00+00:00,57882.7
2021-05-01 00:52:00+00:00,57806.8
2021-05-01 00:53:00+00:00,57776.7
2021-05-01 00:54:00+00:00,57743.5
2021-05-01 00:55:00+00:00,57843.8
2021-05-01 00:56:00+00:00,57857.5
2021-05-01 00:57:00+00:00,57884.7
2021-05-01 00:58:00+00:00,57884.6
2021-05-01 00:59:00+00:00,57900.3
2021-05-01 01:00:00+00:00,57805.8
2021-05-01 01:01:00+00:00,57753.5
2021-05-01 01:02:00+00:00,57750.9
2021-05-01 01:03:00+00:00,57723.3
2021-05-01 01:04:00+00:00,57622.0
2021-05-01 01:05:00+00:00,57673.3
2021-05-01 01:06:00+00:00,57622.6
2021-05-01 01:07:00+00:00,57685.0
2021-05-01 01:08:00+00:00,57643.6
2021-05-01 01:09:00+00:00,57629.3
2021-05-01 01:10:00+00:00,57641.2
2021-05-01 01:11:00+00:00,57670.8
2021-05-01 01:12:00+00:00,57679.0
2021-05-01 01:13:00+00:00,57717.7
2021-05-01 01:14:00+00:00,57717.7
2021-05-01 01:15:00+00:00,57782.0
2021-05-01 01:16:00+00:00,57810.3
2021-05-01 01:17:00+00:00,57778.7
2021-05-01 01:18:00+00:00,57764.3
2021-05-01 01:19:00+00:00,57774.3
2021-05-01 01:20:00+00:00,57812.2
2021-05-01 01:21:00+00:00,57822.3
2021-05-01 01:22:00+00:00,57924.6
2021-05-01 01:23:00+00:00,57936.4
2021-05-01 01:24:00+00:00,58006.7
2021-05-01 01:25:00+00:00,58004.2
2021-05-01 01:26:00+00:00,57948.7
2021-05-01 01:27:00+00:00,57868.9
2021-05-01 01:28:00+00:00,57925.3
2021-05-01 01:29:00+00:00,57914.8
2021-05-01 01:30:00+00:00,57879.2
2021-05-01 01:31:00+00:00,57843.5
2021-05-01 01:32:00+00:00,57899.6
2021-05-01 01:33:00+00:00,57904.0
2021-05-01 01:34:00+00:00,57921.5
2021-05-01 01:35:00+00:00,58000.0
2021-05-01 01:36:00+00:00,58092.0
2021-05-01 01:37:00+00:00,58109.1
2021-05-01 01:38:00+00:00,58061.0
2021-05-01 01:39:00+00:00,58046.8
2021-05-01 01:40:00+00:00,58043.3
2021-05-01 01:41:00+00:00,58015.5
2021-05-01 01:42:00+00:00,58047.0
2021-05-01 01:43:00+00:00,58061.6
2021-05-01 01:44:00+00:00,58306.7
2021-05-01 01:45:00+00:00,58267.4
2021-05-01 01:46:00+00:00,58454.9
2021-05-01 01:47:00+00:00,58451.9
2021-05-01 01:48:00+00:00,58434.1
2021-05-01 01:49:00+00:00,58467.4
2021-05-01 01:50:00+00:00,58474.0
2021-05-01 01:51:00+00:00,58383.0
2021-05-01 01:52:00+00:00,58435.1
2021-05-01 01:53:00+00:00,58486.1
2021-05-01 01:54:00+00:00,58528.5
2021-05-01 01:55:00+00:00,58391.3
2021-05-01 01:56:00+00:00,58476.6
2021-05-01 01:57:00+00:00,58487.4
2021-05-01 01:58:00+00:00,58453.9
2021-05-01 01:59:00+00:00,58530.0
2021-05-01 02:00:00+00:00,58466.2
2021-05-01 02:01:00+00:00,58393.9
2021-05-01 02:02:00+00:00,58429.9
2021-05-01 02:03:00+00:00,58431.8
2021-05-01 02:04:00+00:00,58470.1
2021-05-01 02:05:00+00:00,58366.0
2021-05-01 02:06:00+00:00,58292.8
2021-05-01 02:07:00+00:00,58312.0
2021-05-01 02:08:00+00:00,58359.6
2021-05-01 02:09:00+00:00,58328.0
2021-05-01 02:10:00+00:00,58341.7
2021-05-01 02:11:00+00:00,58334.9
2021-05-01 02:12:00+00:00,58266.7
2021-05-01 02:13:00+00:00,58319.9
2021-05-01 02:14:00+00:00,58321.4
2021-05-01 02:15:00+00:00,58334.5
2021-05-01 02:16:00+00:00,58332.2
2021-05-01 02:17:00+00:00,58368.8
2021-05-01 02:18:00+00:00,58377.7
2021-05-01 02:19:00+00:00,58385.3
2021-05-01 02:20:00+00:00,58412.8
2021-05-01 02:21:00+00:00,58431.0
2021-05-01 02:22:00+00:00,58432.3
2021-05-01 02:23:00+00:00,58421.4
2021-05-01 02:24:00+00:00,58421.3
2021-05-01 02:25:00+00:00,58388.3
2021-05-01 02:26:00+00:00,58368.4
2021-05-01 02:27:00+00:00,58345.9
2021-05-01 02:28:00+00:00,58325.7
2021-05-01 02:29:00+00:00,58419.4
2021-05-01 02:30:00+00:00,58450.5
2021-05-01 02:31:00+00:00,58367.4
2021-05-01 02:32:00+00:00,58399.5
2021-05-01 02:33:00+00:00,58411.7
2021-05-01 02:34:00+00:00,58407.8
2021-05-01 02:35:00+00:00,58375.0
2021-05-01 02:36:00+00:00,58366.4
2021-05-01 02:37:00+00:00,58337.5
2021-05-01 02:38:00+00:00,58399.6
2021-05-01 02:39:00+00:00,58344.4
2021-05-01 02:40:00+00:00,58378.5
2021-05-01 02:41:00+00:00,58364.4
2021-05-01 02:42:00+00:00,58332.3
2021-05-01 02:43:00+00:00,58299.0
2021-05-01 02:44:00+00:00,58278.1
2021-05-01 02:45:00+00:00,58201.6
2021-05-01 02:46:00+00:00,58185.1
2021-05-01 02:47:00+00:00,58220.1
2021-05-01 02:48:00+00:00,58207.5
2021-05-01 02:49:00+00:00,58251.7
2021-05-01 02:50:00+00:00,58262.7
2021-05-01 02:51:00+00:00,58264.0
2021-05-01 02:52:00+00:00,58215.5
2021-05-01 02:53:00+00:00,58188.0
2021-05-01 02:54:00+00:00,58069.2
2021-05-01 02:55:00+00:00,58107.5
2021-05-01 02:56:00+00:00,58155.4
